Это событие в зарубежной публицистике также иногда называется " третьей пражской дефенестрацией " .	третьей
Фуллерены также могут быть прогидрированы с образованием продуктов от СН до СН .	продуктов
В совокупности эти два фактора позволяют предоставить доступ к электронной почте для людей , выход в Интернет которым затруднителен .	выход
В 1964 году в городе Орхус ( Дания ) начался диалог между богословами Православных церквей византийской традиции и Древневосточных церквей .	начался
С первой попытки закрепиться среди сильнейших клубу не удалось , и в 1993 году « Ростсельмаш » вылетел в первую лигу .	попытки
С 2004 года в Ядринском районе 126 населённых пунктов в составе одного городского и 17 сельских поселений :	сельских
В России живёт 10 тысяч арабов , что является самой малочисленной иммигрантской группой арабов .	живёт
Затем он ушёл в Бухарест , где в 1898 — 1902 годах брал уроки в Школе изящных искусств .	ушёл
Между правителями двух стран был заключён договор , и они взаимно отдали друг за друга сестёр .	договор
Рельеф городской территории определяется нахождением города в Среднем Заволжье ( часть Русской равнины ) .	определяется
" Анатомия животных " — наука , которая занимается изучением внутреннего строения живых организмов , структурным расположением систем органов , отдельных органов и тканей организма .	занимается
Начальник Владивостокского поста Е .	поста
В Европу морин хуур первым привёз Марко Поло , который получил его в подарок в 1275 во время посещения Шанду — « летней столицы » династии Юань .	столицы
В 1938 году избран депутатом Верховного Совета РСФСР от Ленинграда .	депутатом
Также периодически выпускаются обновлённые релизы LTS-версий , имеющие то же кодовое имя , но отличающиеся дополнительной цифрой после номера версии .	номера
Сын известного шведского химика Олофа Аррениуса ; внук Нобелевского лауреата , шведского химика Сванте Аррениуса .	известного
При разработке предусматривалось , что каждый из шаттлов должен был до 100 раз стартовать в космос .	разработке
Исторически подобные словари предшествовали алфавитным — древнейшие словари представляли собой списки слов , сгруппированные по темам .	слов
Мы практически не осознаём эти структурные принципы , как не осознаём большинства других своих биологических и когнитивных особенностей .	большинства
Данью уважения международной команды аниматоров мультфильмам Романа Качанова стал полнометражный кукольный мультипликационный фильм « Чебурашка » ( 2013 ) японского режиссёра Макото Накамура .	международной
На южной окраине города ( район Терновка ) расположен Пензенский аэропорт .	аэропорт
В Ветхий Завет во всех христианских конфессиях входит 39 книг Танаха , являющегося общим священным текстом иудаизма и христианства .	общим
С раннего детства Арно проявил музыкальные способности .	способности
Владислав Крапивин отметил , что не считает « Ночной дозор » « большим достижением » Сергея Лукьяненко .	отметил
Поэма Донелайтиса внесена в список лучших литературных произведений Европы , который был составлен в 1977 году по инициативе ЮНЕСКО .	инициативе
А начиная с 2 ноября 2005 года , данные сведения появились и в американской прессе ( « The Washington Post » ) .	сведения
Через некоторое время поступил в Санкт-Петербургскую консерваторию ( класс композиции А .	класс
Территория Ливонии была покрыта сетью каменных замков , которые использовались завоевателями в качестве опорных пунктов .	использовались
Поскольку Техас вступил в США , будучи независимым государством , этот штат единственный имеет право проводить всенародный референдум по вопросу независимости .	независимости
В Бельгии , где финну удача сопутствует три года подряд , Райкконен стартовал четвёртым и смог пробиться на первое место .	подряд
В 2007 году она заняла 37-е место в « Топ-100 самых популярных персонажей » журнала « Анимаг » .	персонажей
Многие рыскали шайками по стране и разъезжали якобы из опричнины , убивали по большим дорогам всякого , кто им попадался навстречу » .	якобы
Д ’ Аламбер вёл активную переписку с российской императрицей Екатериной II .	российской
В соответствии с этой тенденцией , Советская армия рассматривает практически любое гражданское лицо с высшим образованием , как потенциального офицера запаса в военное время .	лицо
Это позволило Генриху сыграть важную роль в развернувшейся в 1090-х годах борьбе между старшими братьями за объединение наследственных владений Вильгельма Завоевателя .	позволило
% пахотных земель ) перегнойно-карбонатные почвы , отличающиеся высоким естественным плодородием .	земель
В этот же период чеченцы начинают возвращаться на Чеченскую равнину из горных районов , куда они были вытеснены Тимуровским нашествием XIV века .	начинают
Семья Бенито Муссолини занимала три небольшие комнаты на втором этаже трёхэтажного дома .	небольшие
Хотелось сделать хороший , максимально профессиональный звук .	профессиональный
На Крымском полуострове моноэтничность территории ( русская , украинская , крымскотатарская ) наблюдается сегодня только как локальное явление , на ограниченных участках .	сегодня
В конструкции печи мог иметься отдельный вход для подсоединения к дымоходу печи трубы угольного самовара .	конструкции
Режим дозирования зависит от показаний и применяемой лекарственной формы .	зависит
При планировке улиц применялись нестандартные пространственные решения .	улиц
В XIX веке представители рода проживали в Петербурге , в Великом Новгороде .	проживали
Апрель — писатель проводит в хлопотах по выпуску своего « Собрания сочинений К. М .	проводит
Однако важно , чтобы самые эффективные приёмы знали только духовно совершенные люди , с высоким уровнем нравственности .	самые
К ним могут относиться эвенкийский , эвенский , долганский и юкагирские языки , распространённые в Республике Саха .	языки
Предел числовой последовательности — предел последовательности элементов числового пространства .	пространства
Изменения мышечного тонуса ведут к нарушению тенденции конечности к возвращению в исходную позицию после совершённого движения .	позицию
Моцаре́лла , моццаре́лла ( ит . " Mozzarella " ) — молодой сыр итальянского происхождения , родом из региона Кампания .	молодой
Далее он говорит , что пока существует кабак , никакие мероприятия экономического плана , никакие дешевые кредиты не принесут желаемого .	плана
% ) , из которых 41 % допускает , что если бы была возможность не быть человеком , то они бы были согласны на это .	человеком
Из 173 пациентов , получавших терапию в режиме единого ингалятора , 53 % " дополнительно назначались КДБА в течение 1 года после выдачи первого рецепта " .	режиме
В южной половине озера — три крупных залива : Свирская , Волховская и Шлиссельбургская губы .	залива
Первоначально , при известии о наступлении наполеоновских войск , эта информация была воспринята среди простого народа неоднозначно .	информация
В течение Вьетнамской войны некоторые офицеры Вьетконга изучали « Искусство войны » и , говорят , могли цитировать наизусть целые разделы книги .	говорят
В области действует московское время , часовой пояс — UTC + 3 .	действует
В начале XIX века уровень английской музыкальной культуры был сравнительно низким , однако влечение людей к музыке было огромным .	музыкальной
Средняя температура января на северо-востоке края − 18,5 ° C , на юго-западе − 15 ° C .	температура
Три дня спустя Европейское агентство авиационной безопасности ( EASA ) и Федеральное управление гражданской авиации США дали своё одобрение на возможность перевозки Airbus A380 до 853 пассажиров .	пассажиров
Его карманных денег — остаток от вырученных за 2-е издание „ Мертвых душ “ — 170 р. 10 к .	денег
В 1895 сблизился с Сергеем Соловьёвым и его родителями — Михаилом Сергеевичем и Ольгой Михайловной , а вскоре и с братом Михаила Сергеевича — философом Владимиром Соловьёвым .	братом
21 января 2007 года тётя Спирс , которая была очень близка ей , умерла от рака .	умерла
Жаботинский провозгласил необходимость ревизии традиционного сионизма , откуда происходит название возглавляемого им течения : ревизионизм .	откуда
После этого Рэмиус подменяет приказы командования и читает их экипажу ( только офицеры знают о его истинных планах ) .	командования
В городе расположен комбинат , который занимается разделением изотопов урана .	занимается
Органоидов мало , клеточного центра нет — клетки утратили способность к делению .	мало
В то же время существует другая группа клеток , регуляторные Т-лимфоциты , функция которых заключается в регулировании активности эффекторных Т-лимфоцитов .	активности
Как клуб , так и само издание получили название в честь главного героя повести Николая Лескова .	героя
В это же время шумеры начинают хоронить своих царей вместе с колесницами .	начинают
Также на территории края существуют месторождения кварца , цитрина , селенита , мрамора , уваровита .	существуют
Проблема оказалась так велика , что фотографы , снимавшие со вспышкой на светских приёмах , сразу после снимка спешили скрыться , пока не обнаружился скандал .	оказалась
Эдуард в течение первых лет войны сумел заключить союзы с князьями Нидерландов и бюргерством Фландрии , однако после нескольких безрезультатных кампаний союз распался в 1340 году .	сумел
Щит горизонтально разделённый на две части , из которых в верхней в красном поле изображена серебряная медвежья голова с продолговатой шеей обращённая в правую сторону .	верхней
Более 500 концертов за 10 дней фестиваля , большая часть из которых проходит под открытым небом .	фестиваля
В августе 1791 года , в сопровождении одного из друзей по академии , , он посетил Богемию .	друзей
Существует мнение , что за организаторами переворота стоял Шеварднадзе .	мнение
За брошюру « Освобождение крестьян и русские писатели » в 1913 году был удостоен первой премии Московского общества грамотности .	крестьян
Сиракузская последовательность , начинающаяся с числа 97 , приходит к единице за 118 шагов .	приходит
Сериал станет своеобразной антологией нескольких работ писателя .	писателя
К 1939 году в ней проживало 32 тыс. человек , жилищный фонд по сравнению с 1913 годом увеличился в три раза .	годом
Его основные характерные особенности приведены ниже .	особенности
Данная трактовка получила распространение в конце XX века благодаря сдвигам в понимании самого понятия , которое определялось как " упорядоченное " и " конституционное " .	распространение
Эти выводы они делали , видя тех , кого они помнили по немецкой полиции и из рассказов « жизни в СС и на немецком фронте » .	немецкой
Многие психиатры полагают , что занятие мастурбацией способно облегчить состояние депрессии , стресса и ведёт к повышению самооценки .	ведёт
Средний возраст мужчин — 35,5 лет .	возраст
В структуре экспорта металлы и изделий из них составляют 8,9	составляют
Основой экономического процветания Комарры стало его расположение на важнейшем перекрёстке торговых путей .	путей
Ни в одной из урн не содержалось достаточно скелетного материала , который указывал бы на двойное захоронение .	материала
Кроме того , рысь нападает на куропаток , рябчиков , бобров , мелких грызунов , молодняк диких кабанов , ланей , лосей .	мелких
Феня родила девочку Сашу , которую считают внебрачной дочерью Крылова .	считают
Однако ансамбль пришёл в запустение в послевоенное время , и его серьёзная реставрация началась только в конце 1990-х годов .	пришёл
В городе начался голод , наступили холода .	начался
Восстановленный в основных своих частях , водовод обеспечивает ежедневное бесперебойное действие каскадов и фонтанов даже в самые засушливые годы .	самые
Биодоступность клонидина для обычных лекарственных форм составляет 75-85 % , для препаратов продлённого действия — 89 % .	форм
Король же , предав огню и мечу все , что лежало вне укреплений , и дойдя до Лиможа , возвратился домой .	домой
В Дмитрове до начала массового строительства 1960-х годов преобладала деревянная усадебная застройка .	1960-х
Мундус ( « мир » ) Цереры представлял собой полусферическую яму , которая , согласно Плутарху , располагалась в области Комиция .	представлял
Мишель перешёл в один из самых сильных тогда клубов Франции — « Сент-Этьен » .	клубов
6 августа 1881 , — 11 марта 1955 , Лондон ) — британский .	британский
В 1996 году принимал участие в разработке концепции системы спутникового телевидения « НТВ-Плюс » .	разработке
В городе был основан и по сей день базируется футбольный клуб « Ширак » .	футбольный
Авторитет Браге как первого астронома Дании укрепился , он получил личное королевское приглашение вести лекции в Копенгагенском университете .	вести
Худощавый , но великолепно сложенный , он держался по-военному прямо и ходил быстрым шагом .	прямо
При практически полном отсутствии турецкого населения остров фактически самоуправлялся , используя византийское право .	используя
В Вооружённых Силах Российской Федерации являлась знаком отличия звания Маршал Российской Федерации до её упразднения 27 января 1997 года , однако И .	являлась
В одном из « черновых » вариантов речи даже звучит утверждение — Россия сделала свой выбор « между возвращением в мировое сообщество и репрессивным одиночеством »	речи
Премия BAFTA , номинации на премию « Оскар » и « Золотой глобус » .	номинации
Аминазин усиливает действие снотворных и депрессантов , анальгетиков , местноанестезирующих веществ , транквилизаторов и антигистаминных препаратов .	веществ
На переговорах Эйзенхауэр предложил политику « открытого неба » , позволяющую одной стороне совершать инспекционные полёты над территорией другой , чтобы своевременно заметить возможную военную угрозу .	военную
Их восстание подавлено на следующий день .	восстание
Однако с 2002 года Геологическая служба США использует моментную магнитуду для сильных землетрясений .	использует
Окончил Екатеринбургскую гимназию ( 1866 ) и историко-филологический факультет Московского университета ( 1870 , со степенью кандидата ) .	кандидата
Также она участвовала в летних выступлениях Национального театра Великобритании в Корнеллском университете .	участвовала
4 ) стадия старения и гибели культуры — стадия цивилизации .	гибели
Профиль императрицы написан гризайлью на тёмно-красном фоне .	фоне
После падения Наполеона в Европе возобладал принцип легитимизма , в рамках которого признавалась нерушимость границ под властью традиционно правящих династий .	границ
Помимо этого , Стю Роуз принял участие в звуковом оформлении — ему принадлежит запись голоса « забитого рабочего » в комедийном стиле .	запись
Затем , до 1916 года , полк участвовал в боевых действиях на различных фронтах .	действиях
В русскоязычной историографии единственной обобщающей работой об историке в этот период стала монография Г .	работой
Первоначально она называлась теоремой Вейерштрасса , до того как стали известны и получили признание работы Больцано .	известны
В этой речи он восславил расовое примирение .	речи
Он критикует нововведения правительства , указывая на несбалансированность и нестабильности либерализации , которая не дала реальных результатов а лишь привела к обнищанию населения .	результатов
25 июля 2012 года стало известно , что Тихонов , помимо работы в « Спарте » будет работать в Академии « Спартак » им .	помимо
Попадание кислорода в конденсат влечёт возможность коррозии оборудования .	оборудования
Наиболее любопытное его качество — это то , что оно обладает вместо обычного рта утиным клювом , позволяющим ему питаться в иле , как птицам » .	обладает
Также авиалайнер подвергся доработке , чтобы соответствовать стандартам самолётов для гражданской авиации .	самолётов
Единицей измерения импульса в Международной системе единиц ( СИ ) является " килограмм-метр в секунду " ( кг · м / с ) .	единиц
Несколько месяцев спустя Сэлинджер убедил её вернуться в Корниш .	вернуться
При этом арабский алфавит пополнялся дополнительными буквами для обозначения звуков , отсутствовавших в арабском языке .	обозначения
В греческих Церквах святой алтарь называют .	святой
В классической механике полным импульсом системы материальных точек называется векторная величина , равная сумме произведений масс материальных точек на их скорости :	скорости
Платини́т — сплав , состоящий из следующих элементов : Ni ( 42 … 46	следующих
Прорыв русских явился « подвигом , равного которому не было в истории всех войн » …	войн
Например , Ориониды и эта-Аквариды связаны с кометой Галлея .	связаны
30 июля 1918 года Ленин подписал постановление Совнаркома ( правительства ) об установке в Советской России « памятников великих деятелей социализма , революции и проч . » .	памятников
В исландском языке полностью отсутствует безударный редуцированный гласный [ ə ] ( шва ) .	отсутствует
Бо́льшая часть пара ( свыше 99	пара
В 2006 году , журнал Expansion Magazine внес Сиэтл в десятку самых лучших муниципальных районов страны с благоприятным климатом для расширения бизнеса .	муниципальных
Подобные « оптические транзисторы » могли бы использоваться для создания оптических логических вентилей , из которых собирались бы более сложные блоки процессора .	использоваться
В виде серий из первично горизонтально залегающих покровов распространены на обширных площадях вулканических поясов активных континентальных окраин , зрелых островных дуг и континентальных рифтов .	активных
Алексенко стал её первым руководителем .	руководителем
Апартхейд должен был помочь белым сохранить своё господство через ограничение территории проживания чернокожих африканцев особыми территориями , хоумлендами , ставшими впоследствии известными как бантустаны .	помочь
В Китае , Японии и Вьетнаме журавли считаются символом долголетия , и их изображения часто соседствуют с другими символами долгой жизни : сосной , бамбуком и черепахой .	изображения
) — хан Золотой Орды в 1380 — 1395 годах , хан Тюменского ханства с 1400 года , один из потомков Джучи , старшего сына Чингисхана .	старшего
В начале 1990-х годов был анонсирован переход на пятипрограммную модель вещания .	переход
В 1768 году для строительства нового Кремлёвского дворца по проекту В. И .	проекту
Но , чтобы волк позволил надеть на себя эту цепь , Тюру пришлось вложить руку ему в пасть в знак отсутствия злых намерений .	знак
Заниматься домашним бытом в отсутствие матери ему помогали соседи .	отсутствие
-d — выдавать имена каталогов , как будто они обычные файлы , вместо того , чтобы показывать их содержимое .	имена
В архитектуре под декором нередко понимают всю неконструктивную часть сооружения .	нередко
28 сентября 2012 года депутат ПКРМ Ион Чебан объявил о выходе из Партии коммунистов и переходе в Партию социалистов .	депутат
1 февраля 1915 г. окончил ускоренные четырёхмесячные курсы военного времени и произведён в прапорщики с зачислением по армейской пехоте .	курсы
Лауреат VІI Международного фестиваля христианских фильмов и телепрограмм « MAGNIFICAT ' 2011 » .	фестиваля
Доля их в национальном составе достигает 62 % .	достигает
20 октября 2012 года по благословению митрополита Ювеналия епископ Балашихинский Николай совершил чин великого освящения новопостроенного храма .	великого
Все поселенцы-темплеры были выселены из страны английским правительством .	правительством
Состояние промышленности города характеризуется дальнейшим усугублением кризисного состояния .	состояния
В первой половине XIX века его подняли и установили на постаменте в Московском Кремле возле колокольни « Иван Великий » .	возле
В конце 1930 года Bentley выпустила свою самую престижную модель — 8L .	выпустила
Его отец , Даниил Александрович , был младшим из четырёх сыновей внука Всеволода , Александра Ярославича Невского .	сыновей
Во время лечения амитриптилином воспрещается употреблять спиртные напитки .	лечения
Детей от брака не было .	брака
По неизвестным причинам , Шотландия имеет самый высокий уровень заболеваемости рассеянным склерозом в мире .	причинам
Мы предлагаем тебе профессиональный контракт » .	профессиональный
Специализировался на скульптуре , но также обращался и к живописи .	живописи
Молодой человек , получивший оружие , становится оруженосцем ( " scutarius , Knappe , Knecht , armiger , écyyer " ) .	оружие
Эта анатомия областей составляет важную прикладную часть практической анатомии , особенно важную для хирургии .	областей
В игре Super Mario Sunshine ( 2002 ) главный герой , Марио , должен очистить город от граффити , оставленных злодеем по имени Bowser Jr .	герой
Восстанавливают два древних корня , обозначавших мёд в праиндоевропейском языке : * " melit " и * " madu " .	древних
В манге Тисэ , практически полностью ставшая машиной , решает освободить остатки человечества от страданий существования на уничтоженной Земле .	решает
Муж проводил больше времени с фаворитом , чем с ней , и только напоминания короля Филиппа возвращали короля в семью .	семью
Такие модификации ISO 8859-6 , несовместимые одна с другой , использовались в операционных системах DOS и Macintosh .	использовались
Третье место в классе « Б » в 1966 году является наивысшим достижением команды в первенстве СССР .	первенстве
Непосредственному принятию Хартии предшествовало масштабное противостояние короля и английских баронов , поддержанных всеми свободными сословиями .	всеми
Его предположение находит , по-видимому , полное подтверждение в Тарг .	находит
А. И. Герцена , Герценовский университет " ) — один из ведущих педагогических вузов Российской Федерации .	ведущих
Генрих был выше людей низкорослых , но уступал высоким ; волосы черные , поредевшие ото лба , глаза с мягким блеском , мускулистая грудь , полное тело .	глаза
К осени правительству удалось собрать 100 000 марок .	марок
18 июля 2014 года на внеочередной сессии городской думы главой администрации Пензы был избран Юрий Иванович Кривов .	главой
В 1990 году был избран народным депутатом РСФСР по 9-му Подольскому национально-территориальному округу ( Московская область ) , баллотируясь в предвыборном блоке « Демократическая Россия » .	депутатом
Современное семиэтажное здание на 10 квартир построено в конце 2000-х годов .	построено
В работе он использует « всю звуковую палитру , все звуки мира » .	использует
Свои молитвы удины-христиане нередко обращают к Луне .	нередко
Сам граф почти все время находился в своем хуторе близ Железноводска , где ему было отведено 90,7 десятин земли .	своем
Жанр сатирической комедии не слишком характерен для творчества Вайды .	творчества
Но в 1930-е годы он уже использовал в основном наработанный багаж .	использовал
Кроме того , Зульцер был не чужд и светского музицирования , славился как исполнитель вокальных сочинений Франца Шуберта , преподавал в Венской консерватории .	консерватории
Эти и другие остроумные ответы были , однако , контрпродуктивными в юридическом смысле .	смысле
В результате этого поражения Наполеон уступил британцам господство на море .	поражения
В 1993 году были опубликованы результаты программы мониторинга в течение первого года после того , как в США возобновили применение клозапина .	применение
Турбобуры такой конструкции применялись при бурении нефтяных скважин до 1934 года .	конструкции
Следующие два года Кармелюк вместе с другими каторжанами провел в пешем конвоировании в Тобольск .	провел
Готовясь к возможной новой войне , Финляндия активизировала перевооружение армии и укрепление новых , послевоенных границ ( Линия Салпа ) .	границ
Алгебраическим дополнением этих теорий стала теория алгебраических групп , впервые сформулированная Клодом Шевалле , позднее упоминаемая в работах Бореля и Титса .	работах
К 1750 году они имели только половину этой длины .	длины
Обложки альбомов Genesis содержат сложные и запутанные рисунки , отражающие тематику текстов песен .	альбомов
Капитализация компании на конец I квартала 2008 года составляла $ 3,3 млрд .	конец
Они прекрасно понимали идею Собраний , значение ' встречи ' » , — писала она .	встречи
Предложил новую формулировку третьего начала термодинамики .	третьего
Депо муниципального унитарного предприятия « Майкопское троллейбусное управление » насчитывает около 50 единиц .	единиц
Согласно Дюркгейму , наблюдение должно быть в наивысшей мере беспристрастным и безличным , при этом полная объективность в этом смысле недостижима .	смысле
Нет идей видов , есть только идеи индивидов , поскольку индивиды — единственная реальность , существующая вне ума , как Божественного , так и человеческого .	идеи
В отношениях с коренным населением Вашингтон полагался больше на военную силу , ему удалось вынудить индейцев уступить многие территории .	военную
Кислоту добавляли в раствор для придания дополнительного блеска света́м изображения .	изображения
Сказочный ландшафт как бы просвечивает сквозь морские воды , настолько он кажется далеким и неосязаемым .	настолько
Оно всегда должно быть заполнено водой , иначе каппа утеряет свою силу или даже умрёт .	водой
" " Паскаль ( единица измерения )	единица
Дуче стремительно завоёвывал популярность в Итальянской социалистической партии .	популярность
Большую популярность в 1920-х годах приобрели двойные автохромные диапозитивы для стереоскопов .	популярность
Известно , что грекам царь не доверял ; ядром его армии были македонские части .	царь
Владимир Путин смог предотвратить угрозу американских ударов по Сирии своим предложением по ликвидации сирийского химического арсенала .	американских
В 1998 году она выиграла ещё три 10-тысячника ITF , а в июле дебютировала в WTA-туре , когда россиянка получила специальное приглашение на турнир в Варшаве .	выиграла
