Стрелок ранен и находится в больнице под контролем спецслужб .	ранен
Введение 3-частной формы греческая литература приписывала Ариону Метимнейскому , которую тот разработал в начале VI в. в Коринфе , при дворе тирана Периандра .	дворе
Впоследствии Джон Лэтроуб подтвердил , что автором действительно лучшего стихотворения был также Эдгар По .	действительно
В городе действует 6 автобусных маршрутов , также существует несколько служб такси .	действует
Таким образом , для белых карликов существует верхний предел массы , получивший название предела Чандрасекара .	белых
Полный список представлен на официальном сайте .	сайте
Ближайшие крупные города : Эрфурт ( 80 км севернее ) , Вюрцбург ( 90 км юго-западнее ) и Нюрнберг ( 90 км южнее ) .	южнее
В 2006 году совместно с ГУП МО НИиПИ градостроительства началась разработка нового Генерального плана Подольска , который не пересматривался с 1975 года .	плана
После защиты докторской диссертации был избран ординарным профессором Петроградского университета .	профессором
Кое-где дело доходило до выступлений отдельных вооружённых групп рабов .	выступлений
В настоящее время на месте кафедрального собора 1838 года постройки стоит деревянный крест .	постройки
br > Чеканка мелких серебряных монет обходилась намного дороже чеканки крупных серебряных номиналов .	мелких
Все студенты обучавшиеся в ТГГПУ стали студентами КФУ .	студентами
В 2007 году Хортица была названа одним из « Семи чудес Украины » .	названа
Возросло количество преступлений , связанных с незаконным оборотом оружия .	связанных
Новым главным тренером Николсон хотел видеть своего бывшего игрока , Кита Баркиншоу .	хотел
В 1999 году туда была перенесена икона « Богоматерь Владимирская » .	туда
В 1990-е и 2000-е к этому прибавляется танцевальная электронная музыка ( рэйв ) .	музыка
Также есть ряд неофициальных версий , согласно которым смерть Жвании и его друга была насильственной : они оба были убиты из огнестрельного оружия .	смерть
Азотный завод , расположенный в п. Зачаганск , производит криогенную продукцию , необходимую для нефтегазового сектора , промышленности , сельского хозяйства , объектов жилищного строительства Западного Казахстана .	расположенный
а в случае , если показатель репутации достигнет 25 очков , персонаж получает титул « Чемпион » ) .	показатель
С 1927 года занимался преподавательской деятельностью .	деятельностью
Сын пока не женат , и , если у него не будет сына , эта ветвь нашего рода исчезнет .	женат
Хвост вытягивается на значительное расстояние — намного большее , чем 200	расстояние
В неё входит 36 депутатов ( со следующих парламентских выборов это число будет увеличено до 41 ) .	следующих
Одна из этих функций часто является формой автоматической настройки , при которой новые обнаруженные в сети устройства опрашиваются автоматически .	устройства
Появление методов активного обучения связано со стремлением преподавателей и тренеров активизировать познавательную деятельность обучающихся или способствовать её повышению .	методов
Каждое растение состоит из пары округлых сросшихся листьев , образующих сердцевидное , обратноконусовидное или шаровидное тело .	пары
После смерти Меншикова оппозиционное духовенство почувствовало силу и стало выступать за восстановление патриаршества .	выступать
Педагогической и просветительской работой Римского-Корсакова восхищался П. И .	работой
Есть и другие реализации .	реализации
Историю развития криминологических идей можно разделить на четыре основных этапа :	этапа
Срединный хребет он проследил почти на 900 км , то есть на три четверти длины .	длины
Был консультантом Ученого совета по реставрационным работам в Троице-Сергиевой лавре , научным руководителем и главным архитектором которых был назначен Игнатий Трофимов .	руководителем
Жена — Ольга ( поженились в 2000 году ) , есть двое сыновей-близнецов .	двое
Для немцев было загадкой , как снабжался гарнизон на верхних этажах .	немцев
В центре розы — Богоматерь с Младенцем в круге ( сфере ) венчика , окружённого восемью лепестками .	сфере
" PostScript " имеет черты метафайла , совмещая поддержку как векторных , так и растровых изображений .	черты
Кроме перечисленных партий , в выборах принимала участие партия « Города России » , которая выдвигала двух кандидатов по одномандатным округам .	партий
Построенные немецкой фирмой AEG двухвагонные фуникулёры имеют следующие характеристики :	немецкой
Dialyzer ( от — « анализатор противоречий для Erlang-программ » ) выявляет в коде отдельных модулей и целых приложений избыточные проверки , ошибки типов , недостижимый код .	типов
29 апреля 1969 в г. гостеприимно открыл свои двери марганчан и гостям города Марганецкий городской историко-краеведческий музей и по сей день радостно встречает своих посетителей .	открыл
Наиболее крупные из них могли включаться в боевую линию и в XIX веке получили название линейных фрегатов , подобно линейным крейсерам XX века .	линию
По современным представлениям , активность ядер галактик объясняется присутствием в их ядрах сверхмассивных чёрных дыр , на которые происходит аккреция галактического газа .	газа
В конце письма от 2 декабря 1864 года он добавляет : " « У меня побаливает грудь .	письма
При этом способе происходит очень большое выгорание металла , и выход стали составляет лишь 90	выход
Ответчики утверждают , что зарплаты этих сотрудников в этот период повышались и взаимодействия между компаниями не оказывало негативных последствий на зарплаты .	сотрудников
В октябре 1920 года направлен в Москву на курсы командного состава .	курсы
Один из выходцев этой школы Торос Рослин приобрёл мировую известность и даже учил русских художников расписывать церкви .	известность
Самым ярким периодом в карьере Алена Проста считается его соперничество с партнером по команде « McLaren » Айртоном Сенной .	карьере
В 2018 году Рогозин заявил , что отверстие в корпусе космического корабля « Союз МС-09 » на МКС могли просверлить сами космонавты на орбите .	сами
Французский король в тот же день должен был направиться к Акре , однако непогода заставила его вернуться в Мессину .	вернуться
Также на территории современного Видного с северной стороны Завидной улицы находился населённый пункт Орджоникидзе .	населённый
Уже 17 сентября 1939 года подводная лодка отправила на дно британский « Корейджес » .	британский
В восьми группах каждая команда играла с каждой два раза , сборные , занявшие первое место , попадали в финала .	финала
На парижский период жизни приходится наибольшее количество созданных художником картин — около двухсот тридцати .	приходится
Основной промышленный метод получения формальдегида — окисление метанола :	метод
Символически это записывают так : или или привязывают запись координат к конкретной точке с помощью индекса : и т. п .	запись
П. Ковалевский , известные ученые-ориенталисты Мирза Мухаммед Али ( Александр ) Казембек , И .	известные
Сам Людендорф придерживался постепенного осуществления этого плана , причем первым этапом должен быть Восточный фронт .	плана
Плодовитость белуги , в зависимости от размеров самки , составляет от 500 тыс. до миллиона ( в исключительных случаях — до 5 миллионов ) икринок .	миллиона
Вместе с тем существует и другая точка зрения , описанная в книге бывшего заместителя Председателя Счётной палаты РФ Ю. Ю .	заместителя
В 1991 году на юношеском первенстве СССР ( последнем в истории ) стал чемпионом .	первенстве
Автор последней книги Библии , Апокалипсиса , называет себя Иоанном ( ) .	последней
Проекты отвергались из-за высокой стоимости и опасения , что припаять 11,5-тонный кусок с гарантией сохранения нормального звука невозможно .	невозможно
Отчасти торий в виде окиси применяется в производстве высокопрочных композиций как упрочнитель ( для авиапромышленности ) .	применяется
В 1944 году был напечатан труд Арнольда Оскара Майерса « Бисмарк .	труд
Основной мишенью ИРА были солдаты британской армии , полицейские и судьи .	британской
Живописный автопортрет для Дюрера — средство подчеркнуть свой статус и веха , отмечающая определённый этап его жизни .	этап
Самоконтроль и самообладание были возведены в ранг добродетели и считались ценными качествами характера самурая .	характера
Уже через неделю после получения докладной записки Кошарского ему поручили тщательно расследовать все факты грубого нарушения советской законности и виновных , допустивших их , строго наказать .	неделю
Всю площадь южнее монастыря вплоть до Тартара некогда занимали монастырские сады , большая часть которых ныне срослась с лесом .	южнее
В обновлённом списке 2007 года фильм также занял первое место .	списке
Общая площадь лесных земель составляет 69 200 гектар , в том числе покрытая лесом — 64 900 гектар .	земель
Жена умерла , с детьми он что-то не очень ладил .	умерла
По состоянию начало 2016 года , долг Украины перед Россией составлял 3,075 млрд долларов .	составлял
После Осоркона никаких следов подчинения в городе нет .	никаких
В августе 1841 года фон Фаллерслебен для поправки здоровья по совету врачей отправился на входивший в то время в моду курорт Гельголанд .	здоровья
Значительную часть получаемого бензола используют для синтеза других продуктов :	продуктов
Уже в конце 40-х годов обозначилось противоречие : спектакли , получавшие официальное признание , не привлекали зрителей и не удерживались в репертуаре .	зрителей
8 октября 1164 года король вызвал архиепископа на суд , но вместо этого Томас Бекет бежал во Францию под защиту Людовика VII Французского .	защиту
Так , сплайн можно представить множеством параметров функций на каждом из фрагментов .	каждом
В Древнем Риме и в Средние века студентами назывались любые лица , занятые процессом познания .	студентами
Грузово́й велосипе́д — велосипед , специально сконструированный для перевозки грузов .	специально
Выехав из Верного в начале мая , экспедиция прошла через долину pp .	прошла
Вершиной академической карьеры художника стало возведение его в звание великого офицера ордена Почётного легиона .	великого
В 3-м раунде судья остановил бой .	раунде
Критику современников и историков вызвали примеры неудачного « поведения » императора и его братьев ( великих князей ) на театре войны .	братьев
Здесь Карл принял трон ( 1385 ) по приглашению противников вдовы умершего Людовика I Великого , будучи старшим из мужских представителей Анжуйской династии .	старшим
Сделав ставку на неизбежность возникновения нового конфликта между империалистическими государствами , СССР стремился не допустить объединения великих держав , воспринимая это как главную угрозу своим интересам .	конфликта
В результате этого у него возникает конфликт со своим непосредственным начальником Прохоренко , которого Сергей подозревает в попытках « замять » дело об убийстве его родителей .	родителей
Орудия осадной артиллерии имеют назначением :	артиллерии
Она живёт в созданных ими вторичных лесах , молодняках , на старых лесосеках и гарях ;	живёт
Самая ранняя информация о Янусе как прародителе римского народа содержится в « Энеиде » Вергилия .	информация
При остановке менструации необходимо иметь в виду причину , вызвавшую эту ненормальность .	виду
Некоторые программы организуют данные в « листы » , предлагая , таким образом , третье измерение .	третье
По данным 1990 года в деревне " Вартемяги " проживали 1056 человек .	проживали
В синодальном переводе ад является синонимом преисподней ( ; ) .	переводе
Были открыты факультеты международных отношений и международных экономических отношений , в 1969 году - факультет международной журналистики и международно-правовой факультет .	международной
Обычно это одна-две недели ( два-три естественных синоптических периода ) , приходящиеся на середину сентября вплоть до начала октября .	недели
Правительство РСФСР декретом от 7 декабря 1918 года признало независимость Эстляндской трудовой коммуны .	независимость
Бори́с Никола́евич Ага́пов ( 1899 — 1973 ) — русский советский писатель , поэт и киносценарист .	поэт
В разработке находилась другая игра этой компании , " " , но она была отменена .	разработке
Актеры не ожидали таких нагрузок и были полностью уверены , что для получения практических навыков хватит и нескольких недель .	недель
Город Бишкек является региональным центром торговли , являясь узлом между КНР , Казахстаном и Россией .	торговли
На основании решения Исполкома Всеволожского райсовета от 6 декабря 1951 года " Новосаратовская колония " была переименована в деревню " Ново-Саратовка " .	деревню
В мозговом есть только Т-зависимые зоны .	зоны
Вложения в такие инструменты как недвижимость и земля показали хорошую доходность , а диверсификация вложенных средств между несколькими проектами снижает риски .	несколькими
Тираж газеты достигал 6 тысяч экземпляров .	экземпляров
Считалось , что залогом успешной карьеры Ху стала его готовность к беспрекословному выполнению указаний вышестоящего руководства .	руководства
С 1946 года Харитон — главный конструктор и научный руководитель КБ-11 ( Арзамас-16 ) в Сарове при Лаборатории № 2 АН СССР .	научный
В почерке же XV века обычно признают руку Стефано Гварнери , основателя библиотеки Ези .	библиотеки
Взрыв в твёрдой среде вызывает разрушение и дробление .	среде
Католичество на территории города Петропавловска берет свое начало с XIX века и представлено двумя храмами римско-католического прихода " Святой Троицы "	прихода
Енисейскую телестудию создали Владимир Курбатов ( директор ) и Владимир Казаков ( редактор , телеведущий , журналист и телеоператор ) .	редактор
% ) , Зубово-Полянском ( 52,14 % ) и Ковылкинском ( 51,72 % ) районах .	районах
Существует множество программ , служащих для генерации фрактальных изображений , см .	программ
В 761 году Пипин мобилизовал свою армию , особо позаботившись о кавалерии .	особо
После благополучного исхода битвы Генрих взялся за возведение новых соборов с удвоенной энергией .	битвы
Позднее был женат на Галине Ивановне Медведевой , у них родилось трое детей — Варвара , Пётр и Павел .	женат
Была запущена первая АЭС ( в штате Махараштра ) ;	штате
Для вывоза оборудования « Запорожстали » потребовалось 12 435 вагонов .	оборудования
Н. П. Фёдорова » ) по проектированию и доводке реактивных самолётов , созданных германскими конструкторами .	самолётов
Таким образом , литопс и родственные ему растения имеют довольно необычный и странный для нашего понимания цикл развития .	растения
Идеями Б. Борохова руководствовались участники движения Поалей Цион .	участники
Советский и украинский писатель Юрий Мушкетик посвятил восстанию повесть « Гайдамаки » .	украинский
Если попытаться провести статистику , то выяснится :	провести
После завершения строительства автотрасса перестала проходить через город Мийо .	завершения
И ЦСП ориентированы , в первую очередь , на многократное выполнение умножения с расчётом « на лету » адресов перемножаемых элементов массивов :	выполнение
Олимпийский чемпион 1984 года на дистанции 500 м ( 38,19 ) .	дистанции
Агент ЦРУ Шон Дэвидсон отправляется на выполнение новой миссии .	выполнение
По оценке аналитика ресурса chessbase Каспаров являлся « самым доминирующим игроком всех времён » ( " most dominant chess player of all time " ) .	времён
Вертикальное расчленение гранитной скалы напоминает четыре головы , что и послужило основанием для названия .	головы
В 1927 году окончательно перешла в Театр Революции ( ныне Московский академический театр имени Владимира Маяковского ) .	перешла
На своём пути Дунай несколько раз меняет направление .	направление
Черника имеет естественный ареал в Северной Европе и в Азии в зоне тайги , особенно в субарктическом поясе .	зоне
После этого гегемонии Йорков , возглавляемых Эдуардом IV , долгое время ничего не угрожало .	долгое
Сразу после слияния с притоком Дибни ( немного восточнее Касана ) Тигр перегораживает плотина ГЭС Диджле , от неё до Диярбакыра основным направлением течения является юг .	немного
Резкие вертикальные толчки морского дна на несколько метров при землетрясении вызвали перемещение огромных масс воды , что выразилось в цунами , достигшем побережий Индийского океана .	океана
С этого момента тяжёлая рыцарская кавалерия разбивалась о плотные организованные пехотные боевые порядки .	боевые
Здание было достроено в 1759 — 1761 годах как часть Конюшенного двора Сухопутного шляхетного корпуса .	двора
Выпадая с осадками , она подкисляет почву , обостряет заболевания дыхательных путей , скрыто угнетающе воздействует на здоровье человека .	путей
Работал учителем младших классов .	классов
Но это ещё одна показательная экскурсия в загадочный внутренний мир Йорка , мир музыканта , который имеет мужество не шифровать свои политические взгляды » .	мужество
Следующая попытка была сделана в 1802 году Уильямом Уилберфорсом и снова встретила сопротивление Уиндхема , заявившего , что ему травля быков нравится .	сопротивление
На президентских выборах 2008 года Обама опередил кандидата от правившей Республиканской партии Джона Маккейна , набрав 52,9	кандидата
Вокруг роз — два ряда ограждений и 32 небольших ниши , где кузнецы из разных стран мира установили миниатюры размером 30х30 сантиметров .	небольших
В художественной литературе освоение взаимно несовместимых и конкурирующих между собой идеологий привело к появлению , в первую очередь , антиутопической сатиры .	литературе
Его фильм « Пепел и алмаз » принёс мировую известность Збигневу Цибульскому .	известность
В астрономических отчётах лучше указывать увеличение , так как это даст больше представления о том , что видел наблюдатель .	лучше
Все соединения плутония являются ядовитыми .	соединения
Древние римляне считали , что в этот день поле готово к будущему посеву , но ему надо дать возможность отдохнуть и не наносить плугом ран .	дать
К 2025 году по некоторым прогнозам в России будет дефицит трудовых ресурсов .	некоторым
Бронзовый призёр чемпионата России 2004 года в гонке преследования .	гонке
До её рождения специалисты были уверены , что у млекопитающих это невозможно из-за геномного импринтинга .	невозможно
В послевоенном интервью одна женщина дала показание , как её мать добила раненого еврея с помощью лопаты , после чего жертвы были погребены на кладбище .	женщина
Этот проект , однако , также требует огромных инвестиций .	требует
Участвовал в коллективизации , в рейдах по сёлам и деревням , подвергался нападениям со стороны крестьян .	крестьян
Наверху над всадником и ниже горизонтальных полос — по золотой 8-конечной звезде , по бокам которых расходятся по три серебряных 8-лучевых звезды .	звезды
Рокировка — это ход короля , поэтому игрок , выполняя её , должен начать с короля .	начать
в результате парафилетической оказывается и вся группа костных рыб .	оказывается
Представлено обоснование того , что основа структуры шунгитового углерода , то есть шунгитовые глобулы , идентичны сажевым частицам .	структуры
Родоначальник рода кубинских ханов Гусейн-хан , находясь в Персии , принял шиитское направление Ислама , вследствие чего кубинские ханы являлись мусульманами-шиитами .	направление
Вымышленный лев по имени Аслан — центральный герой серии книг « Хроники Нарнии » , а также , снятых по их мотивам .	герой
Пресноводные губки наиболее часто находятся в симбиотических отношениях с различными водорослями , которые обусловливают их зелёную окраску .	различными
В рамках постмодернистской парадигмы оформилось множество направлений , которые существенно различаются по идеологии и языковым средствам .	существенно
Оставив в 1853 году службу , открыл собственную « универсальную книжную торговлю » и одновременно выступил как издатель русских книг .	открыл
Если formula _ 21 имеет тот же знак , что и formula _ 3 , возникнет « подушка » , в противном случае — « бочка » .	знак
Мобильный радиотелефон весил около трех килограммов и имел радиус действия 20 — 30 км .	трех
В молодости начал карьеру судебного оратора , но был вынужден её прервать из-за гражданских войн .	войн
Как строить план , как работать с камерой , как выставлять сцены .	сцены
Вскоре первые фотографии Шайхета появились в популярной тогда « Рабочей газете » ( иллюстрированное приложение « Экран » ) .	газете
Менее чем за две недели танковая армия « Африка » была отброшена на тысячу километров назад , в Тунис .	недели
В гонке преследования возможная победа была упущена промахами на последнем огневом рубеже ( 7 место ) .	гонке
Для доказательства в качестве анодного электрода использовался графит С высокой степени очистки , другой электрод был из обычного графита С .	использовался
Отличал необычный сексуальный интерес от патологичного польский сексолог Казимеж Имелинский .	интерес
Протодиакон Русской православной церкви , клирик храма Архангела Михаила в Тропарёве .	православной
Он также неотделим от хода богослужебного года , поэтому встречается не историческая последовательность событий , а их порядок в церковном календаре .	порядок
Алгебраическая система с пустым множеством отношений называется алгеброй , а система с пустым множеством операций — моделью .	операций
Перед составлением самого ликвидационного баланса для уточнения реального финансового положения ликвидируемой организации составляется промежуточный ликвидационный баланс .	положения
Комбинированное применение холинолитиков с леводопой эффективно при ригиднобрадикинетической и дрожательной формах сосудистого паркинсонизма .	применение
Современными учеными были высказаны разные точки зрения о возможном происхождении этого письма .	письма
Модератор ( ) переводится с английского как " замедлитель " , " регулятор " , " посредник " или " арбитр " .	английского
Позже эта система была несколько пересмотрена , получив название 修正ヘボン式 " Сю : сэй Хэбон-сики " .	получив
Темпы экономического роста в 1970 — 1977 гг. составляли 5,7 % в год .	роста
С 1791 года , командуя русскими войсками в Финляндии , Суворов руководил строительством укреплений на границе со Швецией .	границе
В качестве эталонов приняты 10 минералов , расположенных в порядке возрастающей твёрдости .	порядке
Заслуженный артист России ( 1994 ) .	артист
Современный рельеф образовался в результате деятельности ледникового покрова ( последнее Валдайское оледенение было 12 тысяч лет назад ) .	последнее
19 ноября 1770 , Копенгаген — 24 марта 1844 , там же ) — датский художник , скульптор , ярчайший представитель позднего классицизма .	представитель
Композиция группы – это сочетание её элементов , образующих гармоническое единство , которое обеспечивает целостность образа её восприятия ( социального гештальта ) как социальной группы .	социальной
Затем они молились Богу , совершая многочисленные коленопреклонения » .	многочисленные
По поручению британского премьера английским СМИ было рекомендовано не освещать деятельность АК на бывших польских восточных территориях .	бывших
Согласно имевшимся на тот момент планам , первая версия Windows NT должна была выйти не ранее чем через 2 года , а Microsoft	выйти
Лауреатом приза « Врач команды » стал ещё один представитель « Локомотива » Александр Ярдошвили .	представитель
Сюжет как цепь причинно-следственных ситуаций , создающих и разрешающих конфликт произведения , не столь важен для читателя .	столь
В 1970-е и в первой половине 80-х годов в жизни города произошли заметные изменения в экономике и культуре .	культуре
Территория округа располагается в трёх климатических зонах : арктической , субарктической и зоне северной полосы Западно-Сибирской низменности	зоне
Каждая фигура отлита из бронзы и имеет высоту 1,5 м , общий вес конструкции — 3 т. Скульптуры были привезены из Москвы и расписаны на месте .	конструкции
Позднее эта иконография станет для русских иконостасов самой распространенной , вытеснив более простое изображение Спаса на престоле ( было более распространено в Новгороде ) .	изображение
Наиболее серьёзные трудности возникли с освоением дизельного двигателя В-4 ( харьковский завод № 75 ) .	двигателя
Он заявил , что атака несправедлива , а учение нуждается в переработке в современном контексте , в рамках которой необходимо « провести ясную черту » .	провести
Тем не менее , молитва не является полной заменой жертвоприношения .	полной
Всего было обнаружено около 70 экземпляров , которые были отнесены к подотряду Archidermaptera .	экземпляров
Великокняжеский стол занял его младший брат Борис Константинович .	младший
Они могут найти другую работу ( обычно никак не связанную с прежней ) и вести внешне нормальную жизнь .	вести
Иглы зачастую служат морским ежам для передвижения , питания и защиты .	питания
Колин Фёрт сыграл роль Марка Дарси , бойфренда главной героини , в фильмах « Дневник Бриджит Джонс » , « » и « Бриджит Джонс 3 » .	фильмах
На последних этапах существования доосманской Венгрии , венгерские Ягеллоны заключили два династических брака с австрийскими Габсбургами .	брака
в. в составе ряда украинских национальных военных структур ) .	национальных
В Петрограде Поливанов , зарекомендовавший себя как учёный публикациями по японистике , был приглашён на должность приват-доцента по кафедре японского языка .	учёный
В июне 1989 года юного шведского игрока вызвали в Миннесоту , где проходил ежегодный драфт новичков НХЛ , тогда его выбрали под 1 номером .	номером
Возрастающее количество пользовательского контента , вероятно , является новой тенденцией в жанре .	жанре
